Iteration,Temperature,CurrentCost,BestCost
762,7.70977,3290.84,3272.7
763,7.67122,3290.84,3272.7
764,7.63287,3290.84,3272.7
765,7.5947,3290.84,3272.7
766,7.55673,3290.84,3272.7
767,7.51895,3290.84,3272.7
768,7.48135,3290.84,3272.7
769,7.44394,3290.84,3272.7
770,7.40672,3290.84,3272.7
771,7.36969,3290.84,3272.7
772,7.33284,3290.84,3272.7
773,7.29618,3290.84,3272.7
774,7.2597,3290.84,3272.7
775,7.2234,3290.84,3272.7
776,7.18728,3290.84,3272.7
777,7.15134,3290.84,3272.7
778,7.11559,3290.84,3272.7
779,7.08001,3290.84,3272.7
780,7.04461,3290.84,3272.7
781,7.00939,3290.84,3272.7
782,6.97434,3290.84,3272.7
783,6.93947,3290.84,3272.7
784,6.90477,3290.84,3272.7
785,6.87025,3290.84,3272.7
786,6.8359,3290.84,3272.7
787,6.80172,3290.84,3272.7
788,6.76771,3290.84,3272.7
789,6.73387,3290.84,3272.7
790,6.7002,3290.84,3272.7
791,6.6667,3290.84,3272.7
792,6.63337,3290.84,3272.7
793,6.6002,3290.84,3272.7
794,6.5672,3290.84,3272.7
795,6.53436,3290.84,3272.7
796,6.50169,3290.84,3272.7
797,6.46918,3290.84,3272.7
798,6.43684,3290.84,3272.7
799,6.40465,3290.84,3272.7
800,6.37263,3290.84,3272.7
801,6.34076,3290.84,3272.7
802,6.30906,3290.84,3272.7
803,6.27752,3290.84,3272.7
804,6.24613,3290.84,3272.7
805,6.2149,3290.84,3272.7
806,6.18382,3290.84,3272.7
807,6.1529,3290.84,3272.7
808,6.12214,3290.84,3272.7
809,6.09153,3290.84,3272.7
810,6.06107,3290.84,3272.7
811,6.03077,3290.84,3272.7
812,6.00061,3290.84,3272.7
813,5.97061,3290.84,3272.7
814,5.94076,3290.84,3272.7
815,5.91105,3290.84,3272.7
816,5.8815,3290.84,3272.7
817,5.85209,3290.84,3272.7
818,5.82283,3290.84,3272.7
819,5.79371,3290.84,3272.7
820,5.76475,3290.84,3272.7
821,5.73592,3290.84,3272.7
822,5.70724,3290.84,3272.7
823,5.67871,3290.84,3272.7
824,5.65031,3290.84,3272.7
825,5.62206,3290.84,3272.7
826,5.59395,3290.84,3272.7
827,5.56598,3290.84,3272.7
828,5.53815,3290.84,3272.7
829,5.51046,3290.84,3272.7
830,5.48291,3290.84,3272.7
831,5.45549,3290.84,3272.7
832,5.42822,3290.84,3272.7
